"Kunden Nr."	"Kunde"	"Material Nr."	Anfangsbestand	Retourniert	Zu berechnen
"100010"	"BPW ITALIA S.R.L."	"12.999.01.001"	228	139	89
"100010"	"BPW ITALIA S.R.L."	"12.999.01.003"	1	217	-216
"100010"	"BPW ITALIA S.R.L."	"12.999.01.008"	-169	5	-174
"100010"	"BPW ITALIA S.R.L."	"12.999.01.188"	294	163	131
"100013"	"BPW ITALIA S.R.L."	"12.999.01.003"	14	35	-21
"100014"	"BPW EJES ESPAÑA, S.A."	"12.999.01.188"	6	0	6
"100015"	"FOMA"	"12.999.01.001"	0	1	-1
"100015"	"FOMA"	"12.999.01.003"	332	108	224
"100016"	"BPW KRAATZ OY"	"12.999.01.003"	488	185	303
"100016"	"BPW KRAATZ OY"	"12.999.01.008"	5	0	5
"100016"	"BPW KRAATZ OY"	"12.999.01.188"	106	36	70
"100018"	"TRANSPORT-TEKNIK A/S"	"12.999.01.003"	137	40	97
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.001"	1	0	1
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.003"	17	0	17
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.008"	5	0	5
"100021"	"BPW Hofstad A/S"	"12.999.01.003"	2	0	2
"100021"	"BPW Hofstad A/S"	"12.999.01.008"	2	0	2
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.001"	5	3	2
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.003"	15	2	13
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.188"	14	39	-25
"100024"	"BPW spol. s.r.o."	"12.999.01.001"	2	0	2
"100024"	"BPW spol. s.r.o."	"12.999.01.003"	2	0	2
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.001"	3	2705	-2702
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.003"	-222	2461	-2683
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.008"	2	1860	-1858
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.011"	-5	0	-5
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.162"	3	1409	-1406
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.163"	298	306	-8
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.165"	0	28	-28
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.188"	-7	512	-519
"100029"	"HBN-TEKNIK A/S"	"12.999.01.001"	3	0	3
"100030"	"BPW TRAPACO S.L."	"12.999.01.001"	2	2	0
"100030"	"BPW TRAPACO S.L."	"12.999.01.003"	51	4	47
"100030"	"BPW TRAPACO S.L."	"12.999.01.008"	35	0	35
"100030"	"BPW TRAPACO S.L."	"12.999.01.162"	32	0	32
"100030"	"BPW TRAPACO S.L."	"12.999.01.163"	9	0	9
"100030"	"BPW TRAPACO S.L."	"12.999.01.188"	21	5	16
"100032"	"BPW FRANCE SAS"	"12.999.01.001"	74	75	-1
"100032"	"BPW FRANCE SAS"	"12.999.01.003"	8	8	0
"100032"	"BPW FRANCE SAS"	"12.999.01.008"	9	17	-8
"100032"	"BPW FRANCE SAS"	"12.999.01.162"	4	34	-30
"100032"	"BPW FRANCE SAS"	"12.999.01.163"	1	6	-5
"100032"	"BPW FRANCE SAS"	"12.999.01.188"	467	632	-165
"100035"	"BPW Benelux sprl."	"12.999.01.001"	1	592	-591
"100035"	"BPW Benelux sprl."	"12.999.01.003"	118	180	-62
"100035"	"BPW Benelux sprl."	"12.999.01.008"	194	52	142
"100035"	"BPW Benelux sprl."	"12.999.01.162"	523	64	459
"100035"	"BPW Benelux sprl."	"12.999.01.163"	108	23	85
"100035"	"BPW Benelux sprl."	"12.999.01.165"	6	0	6
"100035"	"BPW Benelux sprl."	"12.999.01.188"	203	380	-177
"100036"	"Busch - Hungaria Kft."	"12.999.01.001"	428	1993	-1565
"100036"	"Busch - Hungaria Kft."	"12.999.01.003"	-115	0	-115
"100043"	"Besko A/S"	"12.999.01.003"	167	22	145
"100048"	"Släpis AB"	"12.999.01.003"	64	64	0
"100071"	"BPW AXLES (PTY) LTD."	"12.999.01.003"	0	1	-1
"210118"	"ASCHWEGE & TOENJES GMBH"	"12.999.01.001"	4	3	1
"210118"	"ASCHWEGE & TOENJES GMBH"	"12.999.01.162"	0	0	0
"210118"	"ASCHWEGE & TOENJES GMBH"	"12.999.01.163"	0	0	0
"210118"	"ASCHWEGE & TOENJES GMBH"	"12.999.01.188"	1	0	1
"210234"	"LUDWIG BERGMANN GMBH"	"12.999.01.001"	2	1	1
"210247"	"Blomenröhr Fahrzeugbau GmbH"	"12.999.01.001"	2	2	0
"210247"	"Blomenröhr Fahrzeugbau GmbH"	"12.999.01.003"	8	8	0
"210250"	"Bagela Baumaschinen GmbH & Co.KG"	"12.999.01.001"	0	0	0
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.001"	55	21	34
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.003"	13	32	-19
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.008"	15	8	7
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.162"	44	0	44
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.163"	11	0	11
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.188"	27	12	15
"210507"	"EGGERS"	"12.999.01.001"	1	3	-2
"210507"	"EGGERS"	"12.999.01.003"	0	1	-1
"210507"	"EGGERS"	"12.999.01.008"	0	2	-2
"210507"	"EGGERS"	"12.999.01.162"	0	8	-8
"210507"	"EGGERS"	"12.999.01.163"	0	2	-2
"210507"	"EGGERS"	"12.999.01.188"	1	1	0
"210602"	"FELDBINDER"	"12.999.01.001"	68	35	33
"210602"	"FELDBINDER"	"12.999.01.003"	-18	3	-21
"210602"	"FELDBINDER"	"12.999.01.008"	7	21	-14
"210602"	"FELDBINDER"	"12.999.01.162"	7	4	3
"210602"	"FELDBINDER"	"12.999.01.163"	2	1	1
"210602"	"FELDBINDER"	"12.999.01.188"	90	69	21
"210613"	"WILHELM FRICKE GMBH"	"12.999.01.001"	1	6	-5
"210613"	"WILHELM FRICKE GMBH"	"12.999.01.003"	0	3	-3
"210613"	"WILHELM FRICKE GMBH"	"12.999.01.008"	0	0	0
"210818"	"Hofmeister & Meincke GmbH & Co. KG"	"12.999.01.001"	17	10	7
"210818"	"Hofmeister & Meincke GmbH & Co. KG"	"12.999.01.003"	-53	7	-60
"210818"	"Hofmeister & Meincke GmbH & Co. KG"	"12.999.01.008"	0	0	0
"210833"	"A.-W. HEIL & SOHN GMBH & CO.KG"	"12.999.01.001"	38	38	0
"210833"	"A.-W. HEIL & SOHN GMBH & CO.KG"	"12.999.01.003"	11	11	0
"210845"	"HEINRICH HEUSER GMBH & CO. KG"	"12.999.01.001"	1	1	0
"210845"	"HEINRICH HEUSER GMBH & CO. KG"	"12.999.01.188"	1	1	0
"210846"	"Heitling Fahrzeugbau GmbH & Co. KG"	"12.999.01.001"	0	0	0
"210846"	"Heitling Fahrzeugbau GmbH & Co. KG"	"12.999.01.188"	1	1	0
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.001"	18	27	-9
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.003"	6	7	-1
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.008"	9	6	3
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.162"	14	8	6
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.163"	12	9	3
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.188"	-1	1	-2
"211005"	"OTTO JUST GMBH & CO. KG"	"12.999.01.001"	0	0	0
"211108"	"Köhler Fahrzeugbau GmbH & Co.KG"	"12.999.01.001"	0	0	0
"211108"	"Köhler Fahrzeugbau GmbH & Co.KG"	"12.999.01.003"	0	0	0
"211108"	"Köhler Fahrzeugbau GmbH & Co.KG"	"12.999.01.188"	0	0	0
"211122"	"EMMY KLOOSS"	"12.999.01.001"	1	4	-3
"211123"	"PETER KROEGER GMBH"	"12.999.01.003"	0	1	-1
"211130"	"Josef Kotte"	"12.999.01.001"	2	3	-1
"211130"	"Josef Kotte"	"12.999.01.003"	0	0	0
"211130"	"Josef Kotte"	"12.999.01.188"	1	1	0
"211133"	"KRUKENMEIER GMBH"	"12.999.01.001"	8	8	0
"211133"	"KRUKENMEIER GMBH"	"12.999.01.003"	6	6	0
"211133"	"KRUKENMEIER GMBH"	"12.999.01.162"	0	0	0
"211133"	"KRUKENMEIER GMBH"	"12.999.01.163"	0	0	0
"211133"	"KRUKENMEIER GMBH"	"12.999.01.188"	1	0	1
"211134"	"KAR KUNZ"	"12.999.01.001"	-3	1	-4
"211134"	"KAR KUNZ"	"12.999.01.003"	4	2	2
"211136"	"Kedrowski Fahrzeugbau GmbH & Co. KG"	"12.999.01.001"	0	0	0
"211136"	"Kedrowski Fahrzeugbau GmbH & Co. KG"	"12.999.01.003"	0	0	0
"211214"	"LAHRS GmbH & Co. KG"	"12.999.01.003"	1	0	1
"211214"	"LAHRS GmbH & Co. KG"	"12.999.01.188"	1	0	1
"211325"	"MENKE-JANZEN"	"12.999.01.001"	36	6	30
"211325"	"MENKE-JANZEN"	"12.999.01.003"	-12	1	-13
"211325"	"MENKE-JANZEN"	"12.999.01.162"	0	0	0
"211325"	"MENKE-JANZEN"	"12.999.01.163"	0	0	0
"211325"	"MENKE-JANZEN"	"12.999.01.188"	7	6	1
"211327"	"Moetefindt Fahrzeugbau"	"12.999.01.001"	1	1	0
"211327"	"Moetefindt Fahrzeugbau"	"12.999.01.003"	2	2	0
"211330"	"MEYER - LOHNE GMBH"	"12.999.01.001"	0	0	0
"211335"	"MEINDL"	"12.999.01.001"	1	1	0
"211335"	"MEINDL"	"12.999.01.003"	1	1	0
"211613"	"PV Automotive GmbH"	"12.999.01.001"	0	0	0
