"Kunden Nr."	"Kunde"	"Material Nr."	Anfangsbestand	Retourniert	Zu berechnen
"100001"	"BPW-Fahrzeugtechnik"	"12.999.01.001"	-12	0	-12
"100001"	"BPW-Fahrzeugtechnik"	"12.999.01.003"	27	0	27
"100001"	"BPW-Fahrzeugtechnik"	"12.999.01.008"	2	1	1
"100002"	"M. Busch GmbH & Co. KG"	"12.999.01.001"	-7	12	-19
"100002"	"M. Busch GmbH & Co. KG"	"12.999.01.003"	-45	0	-45
"100002"	"M. Busch GmbH & Co. KG"	"12.999.01.008"	-27	12	-39
"100003"	"F. HESTERBERG & SOEHNE"	"12.999.01.001"	-3	0	-3
"100003"	"F. HESTERBERG & SOEHNE"	"12.999.01.003"	8	0	8
"100003"	"F. HESTERBERG & SOEHNE"	"12.999.01.008"	80	0	80
"100010"	"BPW ITALIA S.R.L."	"12.999.01.001"	182	49	133
"100010"	"BPW ITALIA S.R.L."	"12.999.01.003"	1	79	-78
"100010"	"BPW ITALIA S.R.L."	"12.999.01.008"	-170	4	-174
"100010"	"BPW ITALIA S.R.L."	"12.999.01.188"	239	60	179
"100012"	"BPW LIMITED"	"12.999.01.001"	3	204	-201
"100012"	"BPW LIMITED"	"12.999.01.003"	957	26	931
"100012"	"BPW LIMITED"	"12.999.01.008"	177	60	117
"100012"	"BPW LIMITED"	"12.999.01.162"	2	986	-984
"100012"	"BPW LIMITED"	"12.999.01.163"	441	249	192
"100012"	"BPW LIMITED"	"12.999.01.188"	2	12	-10
"100013"	"BPW ITALIA S.R.L."	"12.999.01.003"	9	9	0
"100014"	"BPW EJES ESPAÑA, S.A."	"12.999.01.188"	6	0	6
"100015"	"FOMA"	"12.999.01.001"	2	0	2
"100015"	"FOMA"	"12.999.01.003"	566	42	524
"100016"	"BPW KRAATZ OY"	"12.999.01.003"	962	59	903
"100016"	"BPW KRAATZ OY"	"12.999.01.008"	5	0	5
"100016"	"BPW KRAATZ OY"	"12.999.01.188"	70	0	70
"100018"	"TRANSPORT-TEKNIK A/S"	"12.999.01.003"	260	13	247
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.001"	1	0	1
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.003"	17	0	17
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.008"	5	0	5
"100021"	"BPW Hofstad A/S"	"12.999.01.003"	2	0	2
"100021"	"BPW Hofstad A/S"	"12.999.01.008"	2	0	2
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.001"	5	3	2
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.003"	15	2	13
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.188"	51	26	25
"100024"	"BPW spol. s.r.o."	"12.999.01.001"	2	0	2
"100024"	"BPW spol. s.r.o."	"12.999.01.003"	2	0	2
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.001"	3	906	-903
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.003"	-661	655	-1316
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.008"	2	455	-453
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.011"	3	0	3
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.162"	2	561	-559
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.163"	265	122	143
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.188"	-55	99	-154
"100029"	"HBN-TEKNIK A/S"	"12.999.01.001"	3	0	3
"100030"	"BPW TRAPACO S.L."	"12.999.01.001"	2	2	0
"100030"	"BPW TRAPACO S.L."	"12.999.01.003"	48	1	47
"100030"	"BPW TRAPACO S.L."	"12.999.01.008"	35	0	35
"100030"	"BPW TRAPACO S.L."	"12.999.01.162"	32	0	32
"100030"	"BPW TRAPACO S.L."	"12.999.01.163"	9	0	9
"100030"	"BPW TRAPACO S.L."	"12.999.01.188"	22	5	17
"100032"	"BPW FRANCE SAS"	"12.999.01.001"	47	27	20
"100032"	"BPW FRANCE SAS"	"12.999.01.003"	437	0	437
"100032"	"BPW FRANCE SAS"	"12.999.01.008"	3	11	-8
"100032"	"BPW FRANCE SAS"	"12.999.01.162"	0	30	-30
"100032"	"BPW FRANCE SAS"	"12.999.01.163"	0	5	-5
"100032"	"BPW FRANCE SAS"	"12.999.01.188"	374	206	168
"100035"	"BPW Benelux sprl."	"12.999.01.001"	838	164	674
"100035"	"BPW Benelux sprl."	"12.999.01.003"	18	77	-59
"100035"	"BPW Benelux sprl."	"12.999.01.008"	164	18	146
"100035"	"BPW Benelux sprl."	"12.999.01.162"	523	22	501
"100035"	"BPW Benelux sprl."	"12.999.01.163"	104	6	98
"100035"	"BPW Benelux sprl."	"12.999.01.165"	6	0	6
"100035"	"BPW Benelux sprl."	"12.999.01.188"	64	161	-97
"100036"	"Busch - Hungaria Kft."	"12.999.01.001"	367	636	-269
"100036"	"Busch - Hungaria Kft."	"12.999.01.003"	-115	0	-115
"100042"	""XL PARTS" SIA"	"12.999.01.003"	0	0	0
"100043"	"Besko A/S"	"12.999.01.003"	151	6	145
"100048"	"Släpis AB"	"12.999.01.001"	0	0	0
"100048"	"Släpis AB"	"12.999.01.003"	30	30	0
"100071"	"BPW AXLES (PTY) LTD."	"12.999.01.003"	1	1	0
"210118"	"ASCHWEGE & TOENJES GMBH"	"12.999.01.001"	3	2	1
"210118"	"ASCHWEGE & TOENJES GMBH"	"12.999.01.162"	6	0	6
"210118"	"ASCHWEGE & TOENJES GMBH"	"12.999.01.163"	2	0	2
"210118"	"ASCHWEGE & TOENJES GMBH"	"12.999.01.188"	1	0	1
"210234"	"LUDWIG BERGMANN GMBH"	"12.999.01.001"	2	1	1
"210235"	"BRIRI GMBH"	"12.999.01.003"	0	0	0
"210247"	"Blomenröhr Fahrzeugbau GmbH"	"12.999.01.001"	2	2	0
"210247"	"Blomenröhr Fahrzeugbau GmbH"	"12.999.01.003"	8	8	0
"210250"	"Bagela Baumaschinen GmbH & Co.KG"	"12.999.01.001"	0	0	0
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.001"	44	3	41
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.003"	10	9	1
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.008"	9	0	9
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.162"	44	0	44
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.163"	11	0	11
"210305"	"Carnehl Fahrzeugbau"	"12.999.01.188"	21	2	19
"210507"	"EGGERS"	"12.999.01.001"	2	2	0
"210507"	"EGGERS"	"12.999.01.003"	0	0	0
"210507"	"EGGERS"	"12.999.01.008"	2	2	0
"210507"	"EGGERS"	"12.999.01.162"	8	8	0
"210507"	"EGGERS"	"12.999.01.163"	2	2	0
"210602"	"FELDBINDER"	"12.999.01.001"	71	8	63
"210602"	"FELDBINDER"	"12.999.01.003"	-17	0	-17
"210602"	"FELDBINDER"	"12.999.01.008"	-7	3	-10
"210602"	"FELDBINDER"	"12.999.01.162"	11	4	7
"210602"	"FELDBINDER"	"12.999.01.163"	3	1	2
"210602"	"FELDBINDER"	"12.999.01.188"	74	22	52
"210613"	"WILHELM FRICKE GMBH"	"12.999.01.001"	4	4	0
"210613"	"WILHELM FRICKE GMBH"	"12.999.01.003"	3	3	0
"210613"	"WILHELM FRICKE GMBH"	"12.999.01.008"	2	0	2
"210818"	"Hofmeister & Meincke GmbH & Co. KG"	"12.999.01.001"	12	5	7
"210818"	"Hofmeister & Meincke GmbH & Co. KG"	"12.999.01.003"	-57	3	-60
"210818"	"Hofmeister & Meincke GmbH & Co. KG"	"12.999.01.008"	0	0	0
"210833"	"A.-W. HEIL & SOHN GMBH & CO.KG"	"12.999.01.001"	1	0	1
"210845"	"HEINRICH HEUSER GMBH & CO. KG"	"12.999.01.001"	0	0	0
"210846"	"Heitling Fahrzeugbau GmbH & Co. KG"	"12.999.01.001"	2	0	2
"210846"	"Heitling Fahrzeugbau GmbH & Co. KG"	"12.999.01.188"	1	0	1
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.001"	26	19	7
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.003"	5	2	3
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.008"	9	6	3
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.162"	20	6	14
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.163"	13	8	5
"210849"	"HRD-TRAILER-ENGINEERING GMBH"	"12.999.01.188"	5	0	5
"211005"	"OTTO JUST GMBH & CO. KG"	"12.999.01.001"	0	0	0
"211108"	"Köhler Fahrzeugbau GmbH & Co.KG"	"12.999.01.001"	2	0	2
"211108"	"Köhler Fahrzeugbau GmbH & Co.KG"	"12.999.01.003"	1	0	1
"211108"	"Köhler Fahrzeugbau GmbH & Co.KG"	"12.999.01.188"	1	0	1
"211122"	"EMMY KLOOSS"	"12.999.01.001"	0	3	-3
"211123"	"PETER KROEGER GMBH"	"12.999.01.001"	0	0	0
"211130"	"Josef Kotte"	"12.999.01.001"	2	1	1
"211130"	"Josef Kotte"	"12.999.01.003"	1	0	1
"211133"	"KRUKENMEIER GMBH"	"12.999.01.001"	5	3	2
"211133"	"KRUKENMEIER GMBH"	"12.999.01.003"	4	3	1
"211133"	"KRUKENMEIER GMBH"	"12.999.01.162"	4	0	4
"211133"	"KRUKENMEIER GMBH"	"12.999.01.163"	1	0	1
"211133"	"KRUKENMEIER GMBH"	"12.999.01.188"	1	0	1
"211134"	"KAR KUNZ"	"12.999.01.001"	-4	0	-4
"211134"	"KAR KUNZ"	"12.999.01.003"	2	0	2
"211136"	"Kedrowski Fahrzeugbau GmbH & Co. KG"	"12.999.01.001"	0	0	0
"211136"	"Kedrowski Fahrzeugbau GmbH & Co. KG"	"12.999.01.003"	0	0	0
"211214"	"LAHRS GmbH & Co. KG"	"12.999.01.003"	1	0	1
"211214"	"LAHRS GmbH & Co. KG"	"12.999.01.188"	1	0	1
"211325"	"MENKE-JANZEN"	"12.999.01.001"	41	5	36
"211325"	"MENKE-JANZEN"	"12.999.01.003"	-2	1	-3
"211325"	"MENKE-JANZEN"	"12.999.01.162"	2	0	2
"211325"	"MENKE-JANZEN"	"12.999.01.163"	1	0	1
"211325"	"MENKE-JANZEN"	"12.999.01.188"	6	4	2
"211327"	"Moetefindt Fahrzeugbau"	"12.999.01.001"	1	1	0
"211327"	"Moetefindt Fahrzeugbau"	"12.999.01.003"	2	2	0
"211330"	"MEYER - LOHNE GMBH"	"12.999.01.001"	0	0	0
"211613"	"PV Automotive GmbH"	"12.999.01.001"	0	0	0
"211613"	"PV Automotive GmbH"	"12.999.01.003"	0	0	0
"211813"	"Reiling Nutzfahrzeugservice GmbH"	"12.999.01.001"	0	0	0
"211906"	"SPIER  GMBH & CO."	"12.999.01.001"	12	1	11
"211906"	"SPIER  GMBH & CO."	"12.999.01.003"	12	1	11
"211906"	"SPIER  GMBH & CO."	"12.999.01.008"	12	0	12
"211906"	"SPIER  GMBH & CO."	"12.999.01.162"	32	0	32
"211906"	"SPIER  GMBH & CO."	"12.999.01.163"	8	0	8
"211906"	"SPIER  GMBH & CO."	"12.999.01.188"	2	0	2
"211912"	"Ludwig Südbeck Nutzfahrzeuge GmbH"	"12.999.01.001"	0	0	0
"211915"	"JUERGEN STERN"	"12.999.01.001"	0	0	0
"212004"	"SCHROEDER"	"12.999.01.001"	3	0	3
"212004"	"SCHROEDER"	"12.999.01.003"	3	0	3
"212004"	"SCHROEDER"	"12.999.01.162"	2	0	2
"212004"	"SCHROEDER"	"12.999.01.163"	1	0	1
"212004"	"SCHROEDER"	"12.999.01.188"	1	0	1
"212010"	"SCHUETTE FAHRZEUGBAU GMBH"	"12.999.01.001"	1	1	0
"212010"	"SCHUETTE FAHRZEUGBAU GMBH"	"12.999.01.003"	1	1	0
"212012"	"KFB Jessen GmbH"	"12.999.01.001"	2	0	2
"212012"	"KFB Jessen GmbH"	"12.999.01.003"	2	0	2
"212020"	"E. SCHWAGMEIER KAROSSERIE- UND"	"12.999.01.001"	1	0	1
"212020"	"E. SCHWAGMEIER KAROSSERIE- UND"	"12.999.01.003"	1	0	1
"212109"	"Stehmann GmbH"	"12.999.01.001"	8	0	8
"212109"	"Stehmann GmbH"	"12.999.01.003"	6	0	6
"212109"	"Stehmann GmbH"	"12.999.01.188"	2	0	2
"212110"	"METALLBAU STAGGENBORG GMBH"	"12.999.01.001"	-5	0	-5
