"Kunden Nr."	"Kunde"	"Material Nr."	Anfangsbestand	Retourniert	Zu berechnen
"100001"	"BPW-Fahrzeugtechnik"	"12.999.01.001"	-6	0	-6
"100001"	"BPW-Fahrzeugtechnik"	"12.999.01.003"	26	0	26
"100001"	"BPW-Fahrzeugtechnik"	"12.999.01.008"	1	0	1
"100002"	"M. Busch GmbH & Co. KG"	"12.999.01.001"	7	10	-3
"100002"	"M. Busch GmbH & Co. KG"	"12.999.01.003"	-32	0	-32
"100002"	"M. Busch GmbH & Co. KG"	"12.999.01.008"	-21	8	-29
"100003"	"F. HESTERBERG & SOEHNE"	"12.999.01.001"	-1	18	-19
"100003"	"F. HESTERBERG & SOEHNE"	"12.999.01.003"	2	0	2
"100003"	"F. HESTERBERG & SOEHNE"	"12.999.01.008"	20	0	20
"100010"	"BPW ITALIA S.R.L."	"12.999.01.001"	263	14	249
"100010"	"BPW ITALIA S.R.L."	"12.999.01.003"	1	21	-20
"100010"	"BPW ITALIA S.R.L."	"12.999.01.008"	-174	0	-174
"100010"	"BPW ITALIA S.R.L."	"12.999.01.188"	354	23	331
"100012"	"BPW LIMITED"	"12.999.01.001"	3	315	-312
"100012"	"BPW LIMITED"	"12.999.01.003"	817	107	710
"100012"	"BPW LIMITED"	"12.999.01.008"	192	43	149
"100012"	"BPW LIMITED"	"12.999.01.162"	1	1516	-1515
"100012"	"BPW LIMITED"	"12.999.01.163"	377	162	215
"100012"	"BPW LIMITED"	"12.999.01.188"	2	66	-64
"100013"	"BPW ITALIA S.R.L."	"12.999.01.003"	49	0	49
"100014"	"BPW EJES ESPAÑA, S.A."	"12.999.01.188"	6	0	6
"100015"	"FOMA"	"12.999.01.001"	2	0	2
"100015"	"FOMA"	"12.999.01.003"	482	19	463
"100016"	"BPW KRAATZ OY"	"12.999.01.003"	822	31	791
"100016"	"BPW KRAATZ OY"	"12.999.01.008"	5	0	5
"100016"	"BPW KRAATZ OY"	"12.999.01.188"	56	0	56
"100018"	"TRANSPORT-TEKNIK A/S"	"12.999.01.003"	246	14	232
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.001"	1	0	1
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.003"	17	0	17
"100020"	"FAHRZEUGBEDARF AG"	"12.999.01.008"	5	0	5
"100021"	"BPW Hofstad A/S"	"12.999.01.003"	2	2	0
"100021"	"BPW Hofstad A/S"	"12.999.01.008"	2	2	0
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.001"	0	0	0
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.003"	13	0	13
"100023"	"BPW Polska Sp. z o.o."	"12.999.01.188"	12	0	12
"100024"	"BPW spol. s.r.o."	"12.999.01.001"	2	0	2
"100024"	"BPW spol. s.r.o."	"12.999.01.003"	2	0	2
"100025"	"BPW-HUNGARIA KFT."	"12.999.01.001"	3	808	-805
